"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"14886",1,1,0,1,1,1,1,0
"30141",1,1,1,1,0,0,1,0
"29160",1,1,1,1,0,0,0,1
"25215",1,1,1,0,1,0,1,1
"32992",1,1,1,1,1,1,1,1
"32134",1,1,1,1,1,1,0,1
"12764",1,1,1,1,0,0,0,0
"15929",1,1,0,0,0,0,0,0
"29064",1,1,0,0,1,1,1,0
"26718",1,1,0,1,0,0,0,0
"26047",1,1,0,1,1,1,0,1
"27398",1,1,0,0,0,0,0,0
"42919",1,0,0,0,0,0,0,0
"25906",1,1,1,0,1,0,0,0
"18456",1,1,0,0,0,0,0,0
"15049",1,1,1,1,1,1,1,1
"22953",1,1,0,0,1,1,0,0
"12047",1,1,1,1,1,1,1,1
"26015",0,0,0,0,1,0,0,0
"13660",1,1,1,1,0,0,0,1
"17408",1,1,0,0,0,1,0,0
"26093",1,1,0,0,0,0,0,1
"33358",0,0,0,0,0,0,0,0
"18472",1,1,0,1,1,0,0,0
"12553",1,1,1,1,0,1,1,1
"31240",1,1,1,1,1,0,0,0
"22435",1,1,1,1,1,1,1,1
"30997",1,1,1,1,0,0,0,0
"17442",1,1,0,0,0,0,0,0
"42009",1,1,1,1,1,1,1,0
"29036",1,1,1,0,0,0,0,0
"35899",1,1,0,0,1,1,1,1
"19367",1,1,1,1,0,1,0,1
"32879",0,0,0,0,1,0,0,0
"30070",1,1,1,1,0,0,0,0
"32995",1,1,1,1,0,0,0,0
"31278",1,1,1,1,1,0,0,0
"19436",1,1,0,0,0,1,1,1
"11415",1,1,1,0,1,0,0,0
"39858",1,1,0,0,0,1,0,0
"33659",1,1,1,0,1,1,1,1
"28815",1,1,1,0,0,0,0,0
"24732",1,1,1,1,0,0,0,0
"27709",1,1,0,0,0,0,0,1
"40015",1,1,0,0,0,1,0,0
"40535",1,1,1,1,1,1,1,1
"37477",1,1,1,1,1,1,1,1
"15928",1,1,1,0,0,0,0,0
"35663",1,1,1,0,0,0,0,0
"29617",1,1,1,0,1,1,1,1
"27067",1,1,1,1,1,1,0,1
"27484",1,1,1,1,1,1,1,1
"30925",0,0,0,0,0,0,0,0
"26627",1,1,1,1,0,0,0,0
"30170",1,1,1,0,0,0,0,0
"22793",1,1,1,0,0,0,0,0
"20142",1,1,1,1,0,0,0,1
"33320",1,1,1,0,0,0,0,0
"22832",1,1,0,0,0,0,1,1
"30812",1,1,1,1,1,1,1,1
"31879",1,1,1,1,1,1,1,1
"31294",1,0,0,0,0,0,1,1
"36653",1,1,1,1,1,1,1,1
"30280",1,1,1,1,1,1,1,0
"24790",1,1,0,0,0,0,0,0
"36911",1,1,0,1,0,0,0,0
"36294",1,1,0,0,0,0,0,0
"35602",1,1,1,0,1,1,1,0
"41994",1,1,1,1,1,1,1,1
"16840",1,1,1,0,0,0,0,0
"31136",1,1,1,1,1,1,0,1
"31845",1,1,0,1,0,1,1,0
"36689",1,1,1,0,1,0,0,0
"10482",1,1,1,1,0,1,0,0
"38347",1,1,1,1,1,1,1,1
"27337",0,1,0,1,0,0,0,0
"32183",1,1,1,0,0,0,0,0
"15665",1,1,1,1,0,1,1,1
