"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"31987",0,0,0,0,0,0,0,0
"31916",0,0,1,0,0,0,0,0
"31823",0,0,0,0,0,0,0,0
"24750",0,0,1,0,1,0,0,1
"33596",0,0,0,0,0,0,0,0
"32452",0,0,1,0,0,1,0,0
"23334",0,0,0,1,1,1,0,0
"37767",0,0,0,1,0,0,0,0
"23393",0,0,1,0,0,0,0,0
"15366",0,0,0,0,0,0,0,0
"31207",1,0,0,0,0,0,0,0
"31553",1,0,1,1,1,0,0,0
"20805",0,0,0,0,0,0,0,0
"30947",0,0,0,1,0,0,0,0
"32758",0,0,0,0,0,0,0,0
"35021",0,0,0,0,0,0,0,0
"31603",0,0,0,0,0,0,0,0
"22984",0,0,0,0,0,0,0,0
"24248",0,0,1,1,0,0,0,0
"19617",1,0,0,1,1,1,1,1
"21048",0,0,0,0,0,0,0,0
"32775",0,0,0,0,1,1,0,0
"32308",0,0,0,0,0,0,0,0
"22681",0,0,1,0,0,0,0,0
"40868",0,0,0,0,0,0,0,0
"27838",0,0,0,0,0,0,0,0
"13632",0,0,0,0,0,0,0,0
"19979",0,0,0,0,0,0,0,0
"24101",0,0,0,0,0,0,0,0
"13353",0,0,0,0,0,0,0,0
"32294",1,0,1,1,0,0,0,0
"32255",0,0,0,0,0,0,0,0
"13106",0,0,0,0,0,0,0,0
"28334",0,0,1,0,0,0,0,0
"34924",0,0,0,0,1,1,1,0
"31309",1,1,1,1,1,1,1,0
"36574",0,0,0,0,0,0,0,0
"39232",1,0,0,0,0,0,0,1
"22452",0,0,0,0,0,0,0,0
"29812",0,0,0,0,0,0,0,1
"10399",0,0,0,0,0,0,0,0
"31148",0,0,1,0,0,0,0,0
"38425",0,0,0,0,0,0,0,0
"32472",0,0,0,0,0,0,0,0
"31056",0,0,0,0,0,0,0,0
"30151",0,0,1,0,0,0,1,0
"32095",0,0,1,0,0,0,0,0
"33238",0,1,1,0,0,0,0,0
"33224",0,0,0,0,0,0,0,0
"23827",1,0,0,0,0,0,0,0
"17719",0,0,0,0,0,0,0,0
"22616",1,0,0,0,0,0,0,0
"31864",0,0,0,0,0,0,0,0
"40488",0,0,0,1,0,1,0,0
"14461",0,0,0,0,0,0,0,0
"22799",0,0,0,0,0,0,0,0
"31224",0,0,1,0,0,0,0,0
"15393",0,0,0,0,0,0,0,0
